1	GO:0005575|GO:0005623|GO:0005886|GO:0009986|GO:0016020|GO:0016021|GO:0016324|GO:0031224|GO:0044425|GO:0044459|GO:0044464|GO:0045177|GO:0071944|GO:0098590
2	GO:0005575|GO:0005622|GO:0005623|GO:0005634|GO:0005654|GO:0005737|GO:0005829|GO:0005856|GO:0005886|GO:0005887|GO:0005911|GO:0005912|GO:0005924|GO:0005925|GO:0015629|GO:0016020|GO:0016021|GO:0016324|GO:0030054|GO:0030055|GO:0030135|GO:0030136|GO:0031224|GO:0031226|GO:0031410|GO:0031974|GO:0031981|GO:0031982|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0043233|GO:0044422|GO:0044424|GO:0044425|GO:0044428|GO:0044444|GO:0044446|GO:0044459|GO:0044464|GO:0045121|GO:0045177|GO:0046581|GO:0070013|GO:0070161|GO:0071944|GO:0097708|GO:0098589|GO:0098590|GO:0098805|GO:0098857
3	GO:0005575|GO:0005622|GO:0005623|GO:0005634|GO:0005635|GO:0005654|GO:0005737|GO:0005829|GO:0005840|GO:0005844|GO:0012505|GO:0031967|GO:0031974|GO:0031975|GO:0031981|GO:0032991|GO:0042788|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0043233|GO:0044422|GO:0044424|GO:0044428|GO:0044444|GO:0044446|GO:0044464|GO:0070013|GO:1990904
4	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005829|GO:0005856|GO:0005886|GO:0005887|GO:0009986|GO:0015629|GO:0016020|GO:0016021|GO:0016324|GO:0031224|GO:0031226|GO:0043226|GO:0043228|GO:0043229|GO:0043232|GO:0044424|GO:0044425|GO:0044444|GO:0044459|GO:0044464|GO:0045121|GO:0045177|GO:0071944|GO:0098589|GO:0098590|GO:0098805|GO:0098857
5	GO:0005575|GO:0005576|GO:0005581|GO:0005615|GO:0005622|GO:0005623|GO:0005737|GO:0005783|GO:0009986|GO:0012505|GO:0032991|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0044421|GO:0044424|GO:0044444|GO:0044464
6	GO:0001650|GO:0005575|GO:0005576|GO:0005622|GO:0005623|GO:0005634|GO:0005730|GO:0005886|GO:0005887|GO:0009986|GO:0016020|GO:0016021|GO:0016324|GO:0030054|GO:0031224|GO:0031226|GO:0031974|GO:0031981|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0043233|GO:0044422|GO:0044424|GO:0044425|GO:0044428|GO:0044446|GO:0044452|GO:0044456|GO:0044459|GO:0044464|GO:0045177|GO:0045202|GO:0070013|GO:0071944|GO:0098590|GO:0098794
7	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0005737|GO:0005829|GO:0044421|GO:0044424|GO:0044444|GO:0044464
8	GO:0005575|GO:0005622|GO:0005623|GO:0005634|GO:0005654|GO:0005667|GO:0005737|GO:0005829|GO:0031974|GO:0031981|GO:0032991|GO:0034751|GO:0034752|GO:0034753|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0043233|GO:0043235|GO:0044422|GO:0044424|GO:0044428|GO:0044444|GO:0044445|GO:0044446|GO:0044464|GO:0044797|GO:0044798|GO:0070013
9	GO:0005575|GO:0005622|GO:0005623|GO:0005634|GO:0005654|GO:0005737|GO:0005739|GO:0005815|GO:0005819|GO:0005829|GO:0005856|GO:0005886|GO:0005911|GO:0005929|GO:0015630|GO:0016020|GO:0030054|GO:0031974|GO:0031981|GO:0031982|GO:0032991|GO:0036064|GO:0042995|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0043233|GO:0044422|GO:0044424|GO:0044428|GO:0044430|GO:0044441|GO:0044444|GO:0044446|GO:0044456|GO:0044463|GO:0044464|GO:0045202|GO:0070013|GO:0071944|GO:0098794|GO:0120025|GO:0120038
10	GO:0005575|GO:0005622|GO:0005623|GO:0005886|GO:0005887|GO:0016020|GO:0016021|GO:0031224|GO:0031226|GO:0032991|GO:0044425|GO:0044459|GO:0044464|GO:0071944
