1	Arthritis, Adjuvant-Induced|Rheumatoid Arthritis|Behavior Disorders|Mental disorders|Bipolar Disorder|Malignant neoplasm of breast|Malignant Neoplasms|Cannabis Abuse|Cannabis Dependence|Carcinoma|Non-Small Cell Lung Carcinoma|Colorectal Carcinoma|Colorectal Neoplasms|Mental Depression|Depressive disorder|Drug toxicity|Epilepsy|Escherichia coli Infections|Esophageal Neoplasms|Hashish Abuse|Congenital Heart Defects|Hepatitis, Toxic|Hypotension, Orthostatic|Kidney Neoplasm|Childhood Acute Lymphoblastic Leukemia|Leukemia, Lymphocytic, Acute, L2|Liver Cirrhosis, Experimental|Marijuana Abuse|Nausea|Neonatal Abstinence Syndrome|Neoplasm Metastasis|Neoplasms|nervous system disorder|Neuroblastoma|Neutropenia|Pain, Postoperative|Parkinson Disease|Secondary Parkinson Disease|Peripheral Neuropathy|Poisoning|Psychotic Disorders|Schizophrenia|Chromosomal translocation|Unipolar Depression|Adverse reaction to drug|Vomiting|Diffuse Large B-Cell Lymphoma|Epilepsy, Cryptogenic|Benign Neoplasm|Encephalopathy, Toxic|Toxic Encephalitis|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Adrenocortical carcinoma|Neurotoxicity Syndromes|Disease Exacerbation|Aura|Cannabis-Related Disorder|Manic|Diagnosis, Psychiatric|Hematopoietic Neoplasms|Hematologic Neoplasms|Malignant neoplasm of esophagus|Breast Carcinoma|Malignant neoplasm of kidney|Awakening Epilepsy|Parkinson Disease, Secondary Vascular|Atherosclerotic Parkinsonism|Drug-Induced Liver Disease|Arthritis, Collagen-Induced|Arthritis, Experimental|Squamous cell carcinoma of the head and neck|Mammary Neoplasms, Human|Hepatitis, Drug-Induced|Major Depressive Disorder|Mammary Neoplasms|Colorectal Cancer|Precursor Cell Lymphoblastic Leukemia Lymphoma|Liver carcinoma|Inflammatory Bowel Disease 13|Drug-Induced Acute Liver Injury|Mental Disorders, Severe|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity
2	Cholangitis|Primary biliary cirrhosis|Cholangitis, Sclerosing|Cholestasis|Colorectal Carcinoma|Colorectal Neoplasms|Inflammation|Jaundice, Obstructive|Liver Cirrhosis|Biliary cirrhosis|Disease Exacerbation|Biliary Cirrhosis, Secondary|Fibrosis, Liver|Progressive intrahepatic cholestasis (disorder)|Cholestasis of pregnancy|Non-alcoholic Fatty Liver Disease|Primary sclerosing cholangitis|End Stage Liver Disease|Cholestasis in newborn|Colorectal Cancer|Cholestasis, progressive familial intrahepatic 3|Liver carcinoma|Low phospholipid-associated cholelithiasis|Chronic Liver Failure|Nonalcoholic Steatohepatitis|Familial intrahepatic cholestasis of pregnancy|CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3
3	Hypersensitivity|Pneumonia|Lobar Pneumonia|Disease Exacerbation|Experimental Lung Inflammation|Allergic Reaction|Pneumonitis
4	Bulla|Colitis|Liver Cirrhosis, Experimental|INFLAMMATORY SKIN AND BOWEL DISEASE, NEONATAL, 1
5	Arthritis, Adjuvant-Induced|Rheumatoid Arthritis|Atherosclerosis|Crohn Disease|Diabetes Mellitus|Diabetes Mellitus, Non-Insulin-Dependent|Diabetic Nephropathy|Nodular glomerulosclerosis|Heart failure|Congestive heart failure|Hepatitis, Toxic|Heroin Dependence|Hyperemia|Hypertensive disease|Inflammation|Insulin Resistance|Kidney Failure, Chronic|Left-Sided Heart Failure|Liver Cirrhosis, Experimental|Myocardial Reperfusion Injury|Obesity|Pulmonary Edema|Pulmonary Fibrosis|Venous Engorgement|Weight Gain|Gestational Diabetes|Hamman-Rich syndrome|Myocardial Ischemia|Crohn's disease of large bowel|Reactive Hyperemia|Heart Failure, Right-Sided|Crohn's disease of the ileum|Active Hyperemia|Non-alcoholic Fatty Liver Disease|Metabolic Syndrome X|Regional enteritis|Drug-Induced Liver Disease|Insulin Sensitivity|Coronary Restenosis|IIeocolitis|Arthritis, Collagen-Induced|Arthritis, Experimental|Weight decreased|Hepatitis, Drug-Induced|Atherogenesis|ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3|ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2|Myocardial Failure|Heart Decompensation|ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1|Adiponectin Deficiency|Hypoadiponectinemia|Nonalcoholic Steatohepatitis|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Heroin Smoking
6	Rheumatoid Arthritis|Atherosclerosis|Diabetic Angiopathies|Hyperalgesia|Hyperglycemia|Hypertrophy|Inflammation|Microangiopathy, Diabetic|Neuralgia|Degenerative polyarthritis|Pancreatic Diseases|Schizophrenia|Neuralgia, Supraorbital|Neuralgia, Vidian|Osteoarthrosis Deformans|Neuralgia, Atypical|Neuralgia, Stump|Peripheral Nerve Injuries|Neuralgia, Perineal|Neuralgia, Iliohypogastric Nerve|Allodynia|Hyperalgesia, Primary|Hyperalgesia, Secondary|Tactile Allodynia|Hyperalgesia, Thermal|Neuralgia, Ilioinguinal|Nerve Pain|Paroxysmal Nerve Pain|Lewy Body Disease|Atherogenesis|Hyperglycemia, Postprandial|Mechanical Allodynia
7	Albuminuria|Alkalosis|Alloxan Diabetes|Anemia|Aneurysm, Dissecting|Anuria|Aortic Aneurysm|Cardiac Arrhythmia|Atherosclerosis|Bipolar Disorder|Cardiomyopathy, Alcoholic|Cardiovascular Diseases|Carotid Artery Diseases|Catalepsy|Cholestasis|Cognition Disorders|Sudden death|Mental Depression|Depressive disorder|Diabetes Mellitus, Experimental|Diabetic Nephropathy|Diabetic Retinopathy|Fetal Growth Retardation|Fibrosis|Glomerulonephritis|IGA Glomerulonephritis|Nodular glomerulosclerosis|Focal glomerulosclerosis|Heart Diseases|Cardiomegaly|Heart failure|Congestive heart failure|Diaphragmatic Hernia|Hyperalgesia|Hyperemia|Hypertensive disease|Malignant Hypertension|Renal hypertension|Hypertrophy|Hypokalemia|Hypotension|Inflammation|Jacksonian Seizure|Kidney Diseases|Left-Sided Heart Failure|Liver Cirrhosis|Liver Cirrhosis, Experimental|Myocardial Infarction|Myocardial Reperfusion Injury|Necrosis|Nephrosis|Drug Overdose|Peptic Ulcer Hemorrhage|Pneumonia|Lobar Pneumonia|Pre-Eclampsia|Cardiomyopathies, Primary|Proteinuria|Pulmonary Fibrosis|Kidney Failure|Reperfusion Injury|Retinopathy of Prematurity|Myocardial Diseases, Secondary|Seizures|Streptozotocin Diabetes|Thrombosis|Ureteral obstruction|Venous Engorgement|Essential Hypertension|Hamman-Rich syndrome|Hyalinosis, Segmental Glomerular|Thrombus|Left Ventricular Hypertrophy|Complex partial seizures|Myocardial Ischemia|Aortic Aneurysm, Abdominal|Reactive Hyperemia|Waxy flexibility|Generalized seizures|Seizures, Clonic|Heart Failure, Right-Sided|Fibrosis, Liver|Ventricular Dysfunction, Left|Cardiovascular Abnormalities|Allanson Pantzar McLeod syndrome|Visual seizure|Tonic Seizures|Epileptic drop attack|Impaired glucose tolerance|Active Hyperemia|Dissection of aorta|Seizures, Somatosensory|Seizures, Auditory|Olfactory seizure|Gustatory seizure|Vertiginous seizure|Bradycardia|Allodynia|Tonic - clonic seizures|Endomyocardial Fibrosis|Carotid Atherosclerosis|External Carotid Artery Diseases|Internal Carotid Artery Diseases|Arterial Diseases, Common Carotid|Non-epileptic convulsion|Single Seizure|Atonic Absence Seizures|Hyperalgesia, Primary|Hyperalgesia, Secondary|Tactile Allodynia|Hyperalgesia, Thermal|Convulsive Seizures|Seizures, Focal|Seizures, Sensory|Cardiomyopathies|Experimental Lung Inflammation|Cardiac Hypertrophy|Atherogenesis|Renal Insufficiency|Cirrhosis|Bright Disease|Myocardial Failure|Heart Decompensation|Renal Tubular Dysgenesis With Choanal Atresia And Athelia|Neointima|Neointima Formation|Mechanical Allodynia|Nonepileptic Seizures|Pneumonitis|Intellectual Disability|Vascular Remodeling|Pulmonary Arterial Remodeling|Convulsions|Dissection, Blood Vessel|Absence Seizures|Epileptic Seizures|Myoclonic Seizures|Generalized Absence Seizures
8	Spontaneous abortion|Abortion, Tubal|Arthritis, Adjuvant-Induced|Rheumatoid Arthritis|Atherosclerosis|Birth Weight|Urinary Bladder Calculi (disorder)|Bone Resorption|Malignant neoplasm of breast|Malignant Neoplasms|Contact Dermatitis|Growth Disorders|Congenital Heart Defects|Cardiomegaly|Hepatitis, Toxic|Hepatomegaly|Hypertensive disease|Hypertrophy|Hyperventilation|Male infertility|Inflammation|Insulin Resistance|Liver diseases|Liver neoplasms|Malignant neoplasm of stomach|Metabolic Diseases|Necrosis|Neoplasm Invasiveness|Neoplasm Metastasis|Neoplasms|Neoplasms, Experimental|Nicotine Dependence|Obesity|Pancreatic Neoplasm|Pneumonia|Lobar Pneumonia|Prostatic Neoplasms|Silicosis|Splenic Diseases|Splenomegaly|Stomach Neoplasms|Tachycardia|Tobacco Dependence|Tobacco Use Disorder|Ureteral Neoplasms|Vascular Diseases|Weight Gain|Tachyarrhythmia|Liver Dysfunction|Benign Neoplasm|Left Ventricular Hypertrophy|Adenocarcinoma of lung (disorder)|Malignant neoplasm of ureter|Contact hypersensitivity|Hyperpigmentation|Chronobiology Disorders|Dyslipidemias|Hyperoxia|Lung Injury|Atrophic|Malignant neoplasm of liver|Malignant neoplasm of pancreas|Malignant neoplasm of prostate|Nicotine Use Disorder|Allergy to peanuts|Dyslipoproteinemias|Breast Carcinoma|Congenital nystagmus|Circadian Rhythm Disorders|Subfertility, Male|Drug-Induced Liver Disease|Psychogenic Inversion of Circadian Rhythm|Experimental Lung Inflammation|Male sterility|Insulin Sensitivity|Arthritis, Collagen-Induced|Arthritis, Experimental|Mammary Neoplasms, Human|Hepatitis, Drug-Induced|Cardiac Hypertrophy|Mammary Neoplasms|Atherogenesis|Hereditary Diffuse Gastric Cancer|Chronic Lung Injury|Pancreatic cancer, adult|Drug-Induced Acute Liver Injury|Pneumonitis|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity
9	Bipolar Disorder|Malignant neoplasm of breast|Malignant Neoplasms|Cannabis Abuse|Cannabis Dependence|Adenocarcinoma of prostate|Malignant neoplasm of skin|Non-Small Cell Lung Carcinoma|Squamous cell carcinoma|Colorectal Carcinoma|Colorectal Neoplasms|Mental Depression|Depressive disorder|Epilepsy|Fibrosis|Hamartoma Syndrome, Multiple|Hashish Abuse|Cardiomegaly|Hyperplasia|Inflammation|Acute Promyelocytic Leukemia|Lung Neoplasms|Marijuana Abuse|melanoma|Meningioma|Muscular Atrophy|Obesity|Osteosarcoma|Ovarian Carcinoma|Pain|Adenomatous Polyposis Coli|Precancerous Conditions|Cardiomyopathies, Primary|Prostatic Neoplasms|Psychoses, Drug|Psychoses, Substance-Induced|Schizophrenia|Myocardial Diseases, Secondary|Skin Neoplasms|T-Cell Lymphoma|Proteus Syndrome|Epilepsy, Cryptogenic|Small cell carcinoma of lung|Cutaneous Melanoma|Adenocarcinoma of lung (disorder)|Meningiomas, Multiple|Histiocytoma, Benign Fibrous|Pain, Burning|Ache|Radiating pain|Aura|Amphetamine-Related Disorders|Cannabis-Related Disorder|Amphetamine Addiction|Amphetamine Abuse|Malignant neoplasm of lung|Malignant Meningioma|Neurogenic Muscular Atrophy|Benign Meningioma|Condition, Preneoplastic|Meningothelial meningioma|Fibrous Meningioma|Psammomatous Meningioma|Angiomatous Meningioma|Hemangioblastic Meningioma|Hemangiopericytic Meningioma|Transitional Meningioma|Breast Cancer, Familial|Spinal Meningioma|Intracranial Meningioma|Malignant neoplasm of prostate|Aortic valve calcification|Clear Cell Meningioma|Xanthomatous Meningioma|Pain, Splitting|Pain, Crushing|Neoplasm of uncertain or unknown behavior of ovary|Neoplasm of uncertain or unknown behavior of breast|Mood Disorders|Epileptic encephalopathy|Breast Carcinoma|Awakening Epilepsy|Cerebral Convexity Meningioma|Parasagittal Meningioma|Pain, Migratory|Suffering, Physical|Breast adenocarcinoma|Cardiomyopathies|ovarian neoplasm|Malignant neoplasm of ovary|Endometrial adenocarcinoma|Squamous cell carcinoma of the head and neck|Mammary Neoplasms, Human|Adenocarcinoma of large intestine|Intraorbital Meningioma|Intraventricular Meningioma|Olfactory Groove Meningioma|Cardiac Hypertrophy|Secretory meningioma|Microcystic meningioma|Mammary Neoplasms|Angioblastic Meningioma|Colorectal Cancer|Posterior Fossa Meningioma|Sphenoid Wing Meningioma|Cirrhosis|Breast Cancer, Familial Male|Proteus-Like Syndrome (disorder)|Macrocephaly mesodermal hamartoma spectrum|COWDEN-LIKE SYNDROME (disorder)|Polyposis, Adenomatous Intestinal|Familial Intestinal Polyposis|Papillary Meningioma|COWDEN SYNDROME 6|Intellectual Disability
10	Alcoholic Intoxication, Chronic|Brain Neoplasms|Non-Small Cell Lung Carcinoma|Renal Cell Carcinoma|Neoplastic Cell Transformation|Mental Depression|Depressive disorder|Glioma|Granuloma, Plasma Cell|melanoma|Neoplasm Metastasis|Neoplasm Recurrence, Local|Neuroblastoma|Rhabdomyosarcoma|Schizophrenia|Diffuse Large B-Cell Lymphoma|Plasma Cell Granuloma, Pulmonary|Cutaneous Melanoma|Adenocarcinoma of lung (disorder)|Malignant neoplasm of brain|Ki-1+ Anaplastic Large Cell Lymphoma|Papillary thyroid carcinoma|Inflammatory Breast Carcinoma|Conventional (Clear Cell) Renal Cell Carcinoma|Inflammatory Myofibroblastic Tumor|Benign neoplasm of brain, unspecified|Brain Tumor, Primary|Recurrent Brain Neoplasm|Primary malignant neoplasm of brain|Chromophobe Renal Cell Carcinoma|Sarcomatoid Renal Cell Carcinoma|Collecting Duct Carcinoma of the Kidney|Papillary Renal Cell Carcinoma|Anaplastic Large Cell Lymphoma, ALK-Positive|ALK positive large B-cell lymphoma|Ovarian Serous Adenocarcinoma|Neoplasms, Intracranial|NEUROBLASTOMA, SUSCEPTIBILITY TO, 3|Neural crest tumor
